Plot,Richness,Composition,Repetition,SOC,TN,NH4,NO3,AP,AK,MBC,B_chao,B_shannon,B_PC1,F_chao,F_shannon,F_PC1
1-1-1,1,1,1,3.394992335,0.5544,3.813199631,22.07514522,9.847174164,155.5,13.64184216,980.53719,5.092914,-0.600566842,202.75,2.802403,-0.271952961
1-1-2,1,1,2,2.945324476,0.5096,4.119350127,23.12858185,9.760668973,153.5,18.85196647,1235.673913,6.200266,-0.086364368,158.375,2.106372,-0.305298978
1-1-3,1,1,3,2.540623403,0.5544,4.686944362,22.65051817,9.183967705,153,1.606454997,1223.981481,5.819754,0.082626302,255.166667,2.789826,-0.160081736
1-1-4,1,1,4,3.484925907,0.4816,4.146404442,22.91838305,9.356978085,155.5,24.53968552,1220.5,5.91447,0.024477837,180,1.853176,-0.319515658
1-2-1,1,2,1,2.765457333,0.6104,4.104238276,22.51309864,9.183967705,144,13.66789278,1205.519231,6.027073,-0.25700002,197.05,1.060911,-0.432411119
1-2-2,1,2,2,3.260091978,0.5264,5.450973462,22.19465174,8.72260669,110,10.15974241,1171.302521,6.002551,0.104266497,195.75,3.05072,-0.220392061
1-2-3,1,2,3,4.204394481,0.5376,4.121835064,22.03229339,9.529988466,190,29.03775951,1152.109375,5.718041,0.123448192,173.333333,1.692918,-0.361269887
1-2-4,1,2,4,3.260091978,0.5264,4.822293395,21.62796184,8.145905421,150.5,24.00998955,1282.454545,6.209853,-0.060934301,137.058824,1.078898,-0.031861087
1-3-1,1,3,1,3.057741441,0.5544,4.168444412,20.08524816,9.356978085,177.5,24.72203987,1251.96124,6.055954,0.036866276,233.111111,2.966644,-0.226896776
1-3-2,1,3,2,3.12519162,0.504,4.47149778,24.65648168,9.097462514,169,18.11386553,1198.805556,5.923474,0.128438291,217.5,3.542703,-0.037546584
1-3-3,1,3,3,4.316811446,0.532,4.287153039,24.3925883,7.396193772,152,17.21946086,1226.78125,6.144443,-0.046936726,169.483871,0.952489,0.042094269
1-3-4,1,3,4,3.28257537,0.532,3.726585132,22.21822526,9.010957324,124.5,10.65470422,1244.625,6.169097,-0.258270492,190.714286,2.757267,-0.071418061
1-4-1,1,4,1,2.653040368,0.5264,4.217995111,22.96003077,9.010957324,151,8.787743009,1237.165354,6.096404,0.013340029,234.083333,3.041967,0.160436925
1-4-2,1,4,2,2.023505365,0.5152,4.675231246,21.83208689,9.991349481,164,53.8726854,1238.886792,5.970541,0.066307486,193.5,1.502862,-0.089931872
1-4-3,1,4,3,2.855390904,0.5152,3.477616108,23.2270842,9.616493656,131,29.04644305,1231.228261,6.174395,0.046106229,180.65,1.947429,0.275009391
1-4-4,1,4,4,3.5074093,0.5432,3.821808576,21.39651221,10.51038062,195,32.17251764,1201.521127,5.935372,-0.141104578,217.75,1.860008,-0.196716726
1-5-1,1,5,1,3.777210015,0.5376,3.665626546,22.57772159,9.328143022,166.5,8.30146474,1193.160305,6.087344,0.106883473,139,1.026691,0.36386823
1-5-2,1,5,2,4.047010731,0.5544,3.309872539,22.72467895,9.443483276,191,17.74915683,1203.416667,5.876625,0.125777943,186.142857,2.004188,0.377790315
1-5-3,1,5,3,2.338272867,0.4984,3.23891735,22.34253594,8.491926182,139,20.64945936,1185.529412,5.957809,-0.23694616,234.052632,2.63269,0.258030285
1-5-4,1,5,4,4.226877874,0.5376,3.439342595,22.43937791,11.57727797,172,10.88915982,1224.325581,5.918259,0.091577872,189.833333,2.034636,0.420602818
1-6-1,1,6,1,3.867143587,0.5376,3.499373611,23.02106987,9.558823529,185.5,15.64774002,1260.067164,5.783118,0.027424393,225.6,2.099019,-0.329332612
1-6-2,1,6,2,3.799693408,0.504,3.73779982,21.21912774,9.328143022,179.5,18.07044783,1158,5.831571,0.128693099,186.5,2.06858,-0.289814272
1-6-3,1,6,3,3.709759836,0.532,3.331005368,23.12359939,9.039792388,165,16.12533475,1206.795455,5.935696,-0.228144518,174.928571,2.216672,-0.237090751
1-6-4,1,6,4,3.799693408,0.5096,3.586343646,21.9271426,9.472318339,149,6.173997312,1252.68595,5.972884,0.064867259,171.551724,1.448653,-0.384109884
1-7-1,1,7,1,3.979560552,0.5208,3.291468721,22.4390121,9.385813149,181,14.54493038,1280.762887,6.210701,0.017507707,151,1.262589,-0.021470004
1-7-2,1,7,2,3.979560552,0.4984,3.435805581,21.60663016,9.558823529,143.5,12.91242476,1252.601351,5.905455,-0.020878676,207,3.142079,0.094675845
1-7-3,1,7,3,4.631578947,0.5208,3.513112764,21.01543301,9.097462514,172,9.734248926,1232.794326,5.961471,-0.046259097,233.615385,2.702038,0.251592023
1-7-4,1,7,4,3.754726622,0.5096,3.454855493,22.67353088,9.068627451,182.5,12.643235,1225.377049,5.947575,0.124936993,202.333333,3.352832,0.39231729
1-8-1,1,8,1,4.249361267,0.5432,4.164498076,21.33276698,8.261245675,162.5,32.70221361,1220.446154,6.067333,-0.175465651,169.636364,1.980148,-0.423145258
1-8-2,1,8,2,4.451711804,0.5488,3.695382322,22.56387516,8.059400231,164.5,3.673137641,1141.227642,5.898145,-0.032725738,218.055556,2.582435,-0.311860721
1-8-3,1,8,3,4.226877874,0.532,2.819314121,21.23220113,8.866782007,170.5,6.113212528,1233.186047,6.020703,0.095005667,173.9375,0.906202,-0.392347563
1-8-4,1,8,4,4.069494124,0.5376,3.046687589,22.38862237,8.318915802,171,16.45530929,1291.508333,5.972669,-0.158096895,164.928571,1.694594,-0.328895031
2-1-1,2,1,1,3.844660194,0.5488,3.684634681,22.62266014,8.607266436,156.5,48.18202614,1155.959184,5.439925,0.055098059,128,1.110609,-0.384839898
2-1-2,2,1,2,3.529892693,0.532,3.28525964,21.74221525,8.866782007,185,31.82214346,1178.992537,5.908283,0.079487539,140.166667,1.976966,-0.194990153
2-2-1,2,2,1,4.181911088,0.5432,3.040168934,23.0448191,10.97174164,184,26.72596762,1251.522727,6.083446,0.052309451,194,2.59827,0.245597728
2-2-2,2,2,2,4.474195197,0.5432,4.751202497,21.96148892,9.616493656,177.5,32.87902084,1205.262774,5.948612,0.091207358,178.8,2.598138,0.313178802
2-3-1,2,3,1,4.541645376,0.5376,4.824023514,30.562718,8.636101499,173,42.36196168,1257.257576,5.668655,0.135700499,225.181818,1.685857,0.226368026
2-3-2,2,3,2,5.171180378,0.5152,3.674392683,22.19455117,8.318915802,168,46.32887128,1124.841121,5.761716,-0.027120169,169.090909,1.715567,0.34700547
2-4-1,2,4,1,4.002043945,0.5376,3.888202605,23.70906953,9.068627451,163.5,34.4136647,1270.5,5.824959,0.074313912,205.928571,2.39655,0.388562986
2-4-2,2,4,2,3.417475728,0.504,3.421858387,21.08898683,8.72260669,178.5,25.69804579,1279.65,6.0883,0.091314891,176.5,2.597309,0.168820477
2-5-1,2,5,1,4.811446091,0.5544,3.596579834,20.67975703,8.463091119,119.5,33.44365396,1217.557692,6.054492,0.102524375,194.5,2.905899,-0.261863665
2-5-2,2,5,2,4.946346449,0.5656,3.443713354,23.79285955,8.491926182,169,38.88729633,1267.561538,5.969543,0.068603146,171,1.58429,-0.335951135
2-6-1,2,6,1,4.047010731,0.532,3.204290252,22.04022421,8.520761246,173.5,31.47467693,1084.944882,5.764183,-0.109089158,168.5,1.45402,0.318266151
2-6-2,2,6,2,4.316811446,0.504,5.937401326,28.10356962,9.529988466,155,31.32989921,1285.963303,6.230179,0.018491079,205.571429,3.141076,0.073471171
2-7-1,2,7,1,3.484925907,0.5208,3.769272072,20.94448757,9.241637832,125.5,29.38987772,1143.785714,6.088544,-0.058273793,214.9375,2.628058,0.144641784
2-7-2,2,7,2,4.047010731,0.5264,4.342229251,21.86802453,10.25086505,169.5,31.76423237,1214.384615,5.957057,0.033113355,129,1.283993,-0.318293336
2-8-1,2,8,1,3.912110373,0.5208,3.930035897,22.28676534,8.261245675,163,21.1520253,1243.099338,5.920398,-0.034771202,159.75,2.090764,-0.30526764
2-8-2,2,8,2,2.495656617,0.4984,3.727414045,22.3442996,9.558823529,154.5,37.7580301,1100.853659,4.897914,-0.542933212,135.066667,0.905497,-0.416594496
4-1-1,4,1,1,3.305058763,0.5656,3.790124866,23.30182379,8.780276817,159,35.17606228,1235.759124,6.008908,0.069452267,231.555556,2.487681,0.382660681
4-1-2,4,1,2,4.159427695,0.5264,3.600266223,21.99492445,9.789504037,174.5,32.38509194,1211,5.971446,-0.027406261,177.625,2.91415,0.376759276
4-1-3,4,1,3,4.294328053,0.5376,4.198029601,22.10976568,9.558823529,174,40.94242831,1213.007407,5.992967,0.096173272,197,2.759783,-0.16077895
4-1-4,4,1,4,3.979560552,0.5096,3.15738584,22.89563987,10.33737024,158,41.49570436,1244.375,6.034923,0.011795652,191.545455,2.875903,0.194728418
4-2-1,4,2,1,4.316811446,0.5656,4.045100901,24.94436964,10.97174164,170,52.7579459,1218.2,6.144741,-0.084947794,150,0.803177,0.172752956
4-2-2,4,2,2,3.777210015,0.56,3.963996051,24.42460717,10.1355248,167,45.14732635,1193.78125,5.997432,0.101156793,226,3.133369,-0.241503504
4-2-3,4,2,3,4.856412877,0.56,4.329668769,22.13638513,9.558823529,133,38.1145729,1217.26087,5.678725,-0.141692729,204.115385,2.0149,0.012490966
4-2-4,4,2,4,3.88962698,0.504,3.478808815,21.58994367,10.62572088,161,68.80295159,1252.100719,5.980772,0.091331562,184,2.610055,-0.316209111
4-3-1,4,3,1,3.372508942,0.504,3.532381384,22.17153495,10.91407151,166,59.4464387,1245.007576,5.842107,0.102041431,144.375,1.954716,-0.11324357
4-3-2,4,3,2,4.451711804,0.476,3.485506401,19.63822671,11.66378316,180,71.27425132,1232.180645,5.947093,0.086733087,196,2.84585,0.240283505
4-3-3,4,3,3,4.609095554,0.5152,3.943378394,23.41490241,9.991349481,162,17.86466917,1219.5,6.197605,-0.041550802,186.111111,2.566095,0.02056697
4-3-4,4,3,4,3.597342872,0.4368,4.020756462,21.29207996,10.07785467,157.5,55.80711174,1231.045802,6.088997,0.045501567,154.928571,1.440199,-0.16503134
4-4-1,4,4,1,4.047010731,0.672,3.61660322,23.74339111,9.356978085,158.5,66.5037822,1271.045802,6.145012,0.055756539,150,2.016799,-0.253231709
4-4-2,4,4,2,3.642309658,0.5096,3.076378781,20.83377809,9.472318339,180,55.95465202,1290.790323,6.203521,0.005539221,190.928571,1.680162,0.107455474
4-4-3,4,4,3,3.192641799,0.7392,3.431696972,21.54264941,10.39504037,169,79.0570012,1246.365854,6.247317,0.016619519,161.55,1.075477,0.322381664
4-4-4,4,4,4,3.327542156,0.4872,3.496119113,21.01488103,9.529988466,158,79.90535783,1262.951456,6.037257,0.082750174,190.142857,3.325937,0.068557713
8-1,8,1,1,3.687276444,0.644,4.14304292,21.08564808,8.924452134,105.5,32.63129338,1199.80531,6.186621,-0.011224891,191,2.685644,0.170385323
8-2,8,1,2,3.552376086,0.4928,2.878049407,21.32909964,10.25086505,149.5,34.66137738,1249.569343,5.89616,0.051392537,172.25,3.227094,0.281206938
8-3,8,1,3,4.047010731,0.5488,3.618008979,22.03777619,11.0005767,164.5,50.86744567,1244.603053,6.033329,-0.155252115,194.588235,2.964397,-0.033036329
8-4,8,1,4,3.957077159,0.4872,3.632089567,21.81602362,10.02018454,172,56.09260505,1234.285714,6.089744,-0.090387379,191.5,2.400603,0.20875286
8-5,8,1,5,4.339294839,0.4984,3.873282226,22.24801138,9.991349481,126.5,82.69131927,1202.52381,6.155674,0.090868197,212.461538,3.512288,0.256145001
8-6,8,1,6,3.912110373,0.4648,3.443784218,20.53955284,9.385813149,121.5,41.55904915,1232.074074,6.119141,0.082639803,206.272727,3.817198,0.170254529
8-7,8,1,7,3.619826265,0.4648,2.996179427,21.06066467,8.463091119,154,47.53395546,1259.021898,6.086377,0.074419867,191.8,2.816594,0.138767778
8-8,8,1,8,4.024527338,0.5208,2.929668302,21.13385041,10.04901961,148,34.44222058,1219.916667,6.082236,0.074271198,172,2.63197,0.001694013
8-9,8,1,9,2.810424119,0.4928,3.162692763,21.78756733,9.702998847,172,36.52997742,1265.75,6.20412,0.044218526,186.5,1.908922,-0.140293642
8-10,8,1,10,4.406745018,0.4984,3.032006793,21.67705281,10.22202999,184.5,62.44815212,1196.978417,5.980369,0.009643524,207.625,2.868163,-0.00343215
8-11,8,1,11,3.732243229,0.4144,3.772028222,21.3912138,8.174740484,146,55.97725937,1218.40146,6.188171,-0.016818989,199,3.352935,0.058837027
8-12,8,1,12,5.935615738,0.784,3.748993854,21.19568188,9.039792388,171.5,54.03945191,1268.536585,6.060884,0.083906263,167.5,2.378925,-0.050933039
8-13,8,1,13,4.091977517,0.6048,3.691945475,21.71806979,11.28892734,176.5,75.49374873,1203.119048,5.981685,0.132765487,189.111111,2.829497,0.438085554
8-14,8,1,14,3.350025549,0.5488,3.707282812,20.91456953,8.80911188,172,57.79972114,1246.195804,6.113939,-0.112315827,148.125,1.919936,0.051961985
8-15,8,1,15,3.529892693,0.6496,3.677538526,21.20870562,9.904844291,175.5,49.19493328,1226.264463,6.033756,0.093104074,129.5,3.213506,0.41235912
8-16,8,1,16,3.754726622,0.504,3.047476668,22.15604947,9.328143022,184,70.4992807,1215.510791,6.089081,0.090682609,122.5,2.641196,0.189435537
